,magnitude,jumlahinf,kluster
318,4.7,28,1
319,4.9,10,1
320,4.7,35,1
321,4.9,0,1
322,4.8,0,1
323,4.6,49,1
324,4.7,71,0
325,4.6,0,1
326,4.5,6,1
327,4.6,4,1
328,4.5,31,1
329,4.5,0,1
330,4.5,15,1
331,4.5,75,0
332,4.9,56,0
333,5.6,116,0
334,4.6,16,1
335,4.6,0,1
336,4.7,37,1
337,4.5,64,0
338,4.6,21,1
339,4.8,0,1
340,4.5,0,1
341,5.6,0,1
342,4.6,0,1
343,4.5,70,0
344,4.5,0,1
345,4.9,21,1
346,4.9,53,0
347,4.7,0,1
348,4.5,0,1
349,5.7,157,0
350,4.7,0,1
351,4.5,0,1
352,4.5,14,1
353,4.5,30,1
354,4.8,0,1
355,4.7,65,0
356,4.9,0,1
357,4.6,45,1
358,4.5,24,1
359,4.5,14,1
360,4.8,57,0
361,4.5,0,1
362,4.9,26,1
363,4.5,6,1
364,4.6,28,1
365,4.5,4,1
366,4.6,45,1
367,4.5,0,1
368,4.5,15,1
369,4.6,0,1
370,4.5,19,1
371,4.5,0,1
372,4.6,0,1
373,4.9,96,0
374,4.5,37,1
375,4.5,0,1
376,5.1,0,1
377,4.8,0,1
378,4.9,0,1
379,4.5,0,1
380,4.6,0,1
381,4.5,0,1
382,4.8,0,1
383,4.5,0,1
384,4.5,59,0
385,4.5,0,1
386,4.5,0,1
387,4.5,0,1
388,4.7,0,1
389,5.1,115,0
390,5.3,1,1
391,5.0,0,1
392,5.2,0,1
393,4.5,0,1
394,4.9,0,1
395,4.7,0,1
396,5.7,1,1
397,5.1,0,1
398,4.6,0,1
399,4.5,0,1
400,4.6,1,1
401,4.5,0,1
402,4.6,0,1
403,4.7,0,1
404,4.5,0,1
405,4.7,0,1
406,5.2,0,1
407,4.9,0,1
408,4.5,0,1
409,4.8,0,1
410,4.6,0,1
411,7.1,58,0
412,4.8,55,0
413,4.5,0,1
414,4.5,75,0
415,4.6,7,1
416,4.8,107,0
417,4.6,32,1
418,4.5,10,1
419,4.5,0,1
420,4.6,1,1
421,4.5,11,1
422,4.5,0,1
423,4.8,0,1
424,5.2,93,0
425,4.7,0,1
426,5.0,2,1
427,5.4,26,1
428,4.5,11,1
429,4.9,19,1
430,4.9,0,1
431,4.8,13,1
432,4.5,0,1
433,5.0,60,0
434,4.7,0,1
435,4.6,3,1
436,5.2,32,1
437,4.7,5,1
438,5.8,62,0
439,4.5,5,1
440,4.6,1,1
441,5.1,69,0
442,6.0,82,0
443,4.5,22,1
444,4.8,38,1
445,4.6,5,1
446,4.8,0,1
447,4.5,0,1
448,4.5,22,1
449,4.9,56,0
450,4.6,6,1
451,4.7,23,1
452,6.3,385,2
453,5.8,208,2
454,4.9,0,1
455,4.5,0,1
456,4.6,6,1
457,4.5,0,1
458,5.3,25,1
459,4.5,24,1
460,4.5,39,1
461,4.7,13,1
462,5.2,223,2
463,4.9,13,1
464,4.5,23,1
465,4.7,2,1
466,4.6,25,1
467,5.2,7,1
468,4.5,21,1
469,4.5,24,1
470,4.6,8,1
471,5.3,143,0
472,4.8,60,0
473,4.9,5,1
474,5.1,0,1
475,4.5,18,1
476,4.5,48,1
477,4.5,0,1
478,4.6,0,1
479,4.9,1,1
480,4.5,0,1
481,4.5,1,1
482,4.8,0,1
483,4.8,20,1
484,4.7,38,1
485,4.5,0,1
486,4.7,313,2
487,4.7,0,1
488,4.5,0,1
489,4.6,57,0
490,4.9,0,1
491,4.5,91,0
492,4.8,0,1
493,4.5,0,1
494,4.6,0,1
495,5.4,60,0
496,4.6,0,1
497,4.6,0,1
498,4.5,0,1
499,5.0,2,1
500,5.5,62,0
501,6.1,107,0
502,5.6,184,0
503,4.6,10,1
