,magnitude,jumlahinf,kluster
1354,4.5,0,1
1355,4.6,8,1
1356,4.6,1,1
1357,4.7,24,1
1358,4.9,0,1
1359,5.0,35,1
1360,4.9,94,0
1361,4.5,27,1
1362,4.5,44,1
1363,4.5,5,1
1364,5.3,59,0
1365,4.6,0,1
1366,4.6,0,1
1367,4.5,48,1
1368,4.6,102,0
1369,4.6,97,0
1370,4.5,0,1
1371,4.9,27,1
1372,5.3,0,1
1373,4.8,0,1
1374,4.6,0,1
1375,4.8,0,1
1376,4.6,29,1
1377,4.8,1,1
1378,4.7,0,1
1379,4.7,0,1
1380,4.8,3,1
1381,4.5,3,1
1382,4.6,23,1
1383,4.5,36,1
1384,4.6,0,1
1385,5.7,30,1
1386,4.6,0,1
1387,4.6,3,1
1388,4.6,326,2
1389,4.6,13,1
1390,4.8,0,1
1391,5.0,8,1
1392,4.6,23,1
1393,4.7,54,0
1394,4.6,1,1
1395,4.6,57,0
1396,4.8,40,1
1397,4.8,0,1
1398,4.5,0,1
1399,4.5,3,1
1400,4.6,0,1
1401,4.5,5,1
1402,4.5,151,0
1403,4.8,18,1
1404,4.7,0,1
1405,4.7,0,1
1406,5.0,0,1
1407,4.8,0,1
1408,5.1,396,2
1409,6.6,891,2
1410,4.9,18,1
1411,4.5,17,1
1412,4.7,12,1
1413,4.6,0,1
1414,4.8,24,1
1415,4.8,32,1
1416,4.5,15,1
1417,4.5,0,1
1418,4.8,13,1
1419,4.9,46,1
1420,4.9,0,1
1421,4.7,90,0
1422,4.6,0,1
1423,6.0,271,2
1424,4.6,0,1
1425,4.5,0,1
1426,4.6,26,1
1427,5.2,109,0
1428,4.5,38,1
1429,4.5,0,1
1430,4.5,63,0
1431,4.9,31,1
1432,4.8,12,1
1433,4.6,116,0
1434,4.5,36,1
1435,4.5,39,1
1436,4.9,32,1
1437,5.2,117,0
1438,4.8,33,1
1439,4.9,24,1
1440,4.9,32,1
1441,4.9,32,1
1442,4.6,1,1
1443,4.7,27,1
1444,5.1,98,0
1445,4.8,1,1
1446,4.6,0,1
1447,4.5,10,1
1448,4.6,0,1
1449,4.5,0,1
1450,4.9,45,1
1451,4.6,29,1
1452,4.5,0,1
1453,4.6,21,1
1454,5.1,70,0
1455,4.8,0,1
1456,5.7,63,0
1457,4.6,1,1
1458,5.0,32,1
1459,5.2,26,1
1460,4.8,31,1
1461,5.2,30,1
1462,4.5,26,1
1463,4.5,24,1
1464,4.9,1,1
1465,6.4,133,0
1466,4.6,67,0
1467,5.7,50,1
1468,4.8,19,1
1469,4.5,0,1
1470,4.6,21,1
1471,4.5,1,1
1472,4.6,0,1
1473,4.7,79,0
1474,5.6,58,0
1475,4.7,1,1
1476,4.7,1,1
1477,4.9,0,1
1478,4.5,0,1
1479,4.6,0,1
1480,4.5,0,1
1481,4.5,0,1
1482,4.5,3,1
1483,4.5,0,1
1484,4.5,0,1
1485,4.6,0,1
1486,4.8,159,0
1487,4.6,0,1
1488,5.3,21,1
1489,5.1,11,1
1490,4.5,75,0
1491,4.6,21,1
1492,4.8,27,1
1493,4.9,0,1
1494,5.0,8,1
1495,4.5,0,1
1496,4.8,0,1
1497,4.5,0,1
1498,4.9,189,0
1499,4.7,94,0
1500,4.5,10,1
1501,4.8,1,1
1502,4.5,1,1
1503,4.5,0,1
1504,4.6,0,1
1505,4.6,31,1
1506,4.5,0,1
1507,4.8,0,1
1508,4.6,28,1
1509,4.5,0,1
1510,4.6,0,1
1511,4.7,1,1
1512,4.5,64,0
1513,4.6,0,1
1514,4.5,1,1
1515,4.5,0,1
1516,4.5,3,1
1517,5.7,0,1
1518,4.6,9,1
1519,4.6,26,1
1520,4.6,22,1
1521,5.1,21,1
1522,4.5,91,0
1523,4.7,25,1
1524,6.8,65,0
1525,4.8,0,1
1526,4.9,1,1
1527,4.5,6,1
1528,4.5,19,1
1529,4.5,2,1
1530,4.5,0,1
1531,5.0,53,0
1532,4.5,33,1
1533,4.8,31,1
1534,5.1,19,1
1535,4.8,339,2
1536,5.0,74,0
1537,4.6,69,0
1538,4.5,30,1
1539,4.8,31,1
1540,4.8,78,0
1541,4.7,4,1
1542,4.5,7,1
1543,5.1,1,1
1544,4.5,0,1
1545,4.6,26,1
1546,4.6,1,1
1547,4.7,0,1
1548,5.1,57,0
1549,4.8,4,1
1550,4.5,24,1
1551,4.5,0,1
1552,4.7,112,0
1553,5.7,116,0
1554,4.7,32,1
1555,4.9,26,1
1556,4.5,147,0
1557,5.0,52,0
1558,5.0,31,1
1559,4.5,0,1
1560,4.9,7,1
1561,5.1,2,1
1562,4.6,6,1
1563,4.6,71,0
1564,4.5,64,0
1565,4.6,1,1
1566,4.9,2,1
1567,5.0,11,1
1568,4.8,1,1
1569,4.5,0,1
1570,4.9,30,1
1571,4.6,1,1
1572,4.6,0,1
1573,6.0,190,0
1574,4.9,98,0
1575,4.6,0,1
1576,4.6,1,1
1577,5.2,5,1
1578,5.5,22,1
1579,4.8,11,1
1580,4.7,0,1
1581,4.9,41,1
1582,4.5,0,1
1583,5.3,3,1
1584,5.9,333,2
1585,4.6,0,1
1586,4.5,0,1
1587,5.6,66,0
1588,4.5,19,1
1589,4.5,0,1
1590,5.7,74,0
1591,4.5,0,1
1592,4.6,16,1
1593,6.1,31,1
1594,4.5,53,0
1595,4.9,1,1
1596,4.8,14,1
1597,4.7,24,1
1598,4.7,24,1
1599,4.6,24,1
1600,4.6,24,1
1601,4.6,24,1
1602,4.7,0,1
1603,4.5,0,1
1604,4.9,0,1
1605,5.1,55,0
1606,5.0,84,0
1607,5.0,3,1
1608,4.5,13,1
1609,4.5,14,1
1610,4.8,90,0
1611,4.9,32,1
1612,4.6,59,0
1613,4.6,122,0
1614,6.2,0,1
1615,4.6,4,1
1616,5.4,29,1
1617,4.8,2,1
1618,5.0,8,1
1619,4.5,59,0
1620,5.2,0,1
1621,4.5,0,1
1622,4.5,19,1
1623,4.5,8,1
1624,4.9,24,1
1625,4.5,23,1
1626,4.7,41,1
1627,4.6,0,1
1628,4.5,27,1
1629,5.2,167,0
1630,4.6,0,1
1631,4.5,4,1
1632,4.6,1,1
1633,5.0,102,0
1634,5.7,101,0
1635,5.0,457,2
1636,4.6,59,0
1637,5.2,27,1
1638,5.0,13,1
1639,5.0,5,1
1640,4.5,21,1
1641,4.6,7,1
1642,4.6,0,1
1643,4.6,1,1
1644,4.5,0,1
1645,5.3,24,1
1646,4.5,1,1
1647,5.1,165,0
1648,4.6,0,1
1649,4.5,0,1
1650,4.9,0,1
1651,5.0,1,1
1652,5.5,64,0
1653,4.6,71,0
1654,4.7,76,0
1655,4.5,0,1
1656,4.6,0,1
1657,6.0,49,1
1658,4.5,0,1
1659,4.5,0,1
1660,4.5,1,1
1661,4.8,29,1
1662,4.6,67,0
1663,4.6,0,1
1664,4.9,0,1
1665,5.3,26,1
1666,4.5,1,1
1667,4.6,0,1
1668,4.9,14,1
1669,5.3,17,1
1670,5.1,11,1
1671,5.2,30,1
1672,4.9,52,0
1673,4.6,191,0
1674,5.4,21,1
1675,4.5,0,1
1676,5.4,0,1
1677,4.5,9,1
1678,4.6,29,1
1679,4.6,52,0
1680,4.9,46,1
1681,4.5,0,1
1682,4.5,0,1
1683,4.8,18,1
1684,4.7,48,1
1685,5.6,58,0
1686,4.5,0,1
1687,4.7,0,1
1688,5.4,58,0
1689,4.7,24,1
1690,4.7,85,0
1691,5.2,3,1
1692,4.5,0,1
1693,4.8,0,1
1694,4.5,27,1
1695,4.5,0,1
1696,4.5,0,1
1697,4.7,51,0
1698,4.9,60,0
1699,4.9,7,1
1700,4.6,19,1
1701,4.5,0,1
1702,4.5,63,0
1703,4.9,99,0
1704,5.6,173,0
1705,4.6,0,1
1706,5.0,7,1
1707,4.7,0,1
1708,4.9,14,1
1709,4.7,0,1
1710,4.5,44,1
1711,4.7,0,1
1712,5.1,9,1
1713,6.0,31,1
1714,4.5,0,1
1715,4.9,28,1
1716,4.5,2,1
1717,6.2,363,2
1718,4.5,7,1
1719,4.8,68,0
1720,4.7,80,0
1721,4.8,0,1
1722,4.6,20,1
1723,4.6,1,1
1724,4.9,0,1
1725,5.0,8,1
1726,4.9,81,0
1727,4.7,42,1
1728,4.5,31,1
1729,4.5,0,1
1730,5.0,49,1
1731,4.7,0,1
1732,5.0,0,1
1733,5.0,0,1
1734,4.8,41,1
1735,4.6,62,0
1736,4.5,1,1
1737,5.8,150,0
1738,4.5,0,1
1739,4.5,0,1
1740,4.5,51,0
1741,4.8,18,1
1742,4.8,0,1
1743,4.7,114,0
1744,4.9,0,1
1745,4.5,0,1
1746,4.5,0,1
1747,4.9,11,1
1748,4.5,37,1
1749,4.5,19,1
1750,4.7,45,1
1751,4.5,0,1
1752,4.6,35,1
1753,6.1,281,2
1754,4.5,239,2
1755,4.9,28,1
1756,6.0,116,0
1757,4.5,22,1
1758,4.9,74,0
1759,5.1,25,1
1760,4.8,0,1
1761,4.7,20,1
1762,4.9,24,1
1763,4.7,0,1
1764,4.6,0,1
1765,4.5,16,1
1766,4.6,47,1
1767,4.9,34,1
1768,5.0,39,1
1769,4.5,29,1
1770,4.7,0,1
1771,4.9,9,1
1772,5.7,58,0
1773,4.5,0,1
1774,4.5,0,1
1775,4.5,1,1
1776,4.5,0,1
1777,4.6,0,1
1778,4.9,45,1
1779,4.5,0,1
1780,4.5,49,1
1781,4.5,10,1
1782,4.8,0,1
1783,4.8,15,1
1784,4.9,21,1
1785,4.6,23,1
1786,4.6,23,1
1787,4.6,145,0
1788,4.5,0,1
1789,4.5,5,1
1790,4.8,0,1
1791,4.5,4,1
1792,4.6,7,1
1793,4.8,26,1
1794,6.3,151,0
1795,5.3,0,1
1796,4.9,0,1
1797,4.6,0,1
1798,4.9,93,0
1799,4.6,0,1
1800,5.2,0,1
1801,4.6,26,1
1802,4.9,0,1
1803,4.7,66,0
1804,4.5,0,1
1805,4.8,23,1
1806,5.6,9,1
1807,4.5,6,1
1808,4.5,0,1
